title,content
"['a', 'an', 'angloaméricains', 'débarquent', 'normandie', 'demande', 'russie']","['monde', '2e', 'guerre', 'mondialecommémorationil', 'a', 'an', 'angloaméricains', 'débarquent', 'normandie', 'demande', 'russieouagadougou', 'juin', 'aib', '–', 'etatsunis', '’', 'amérique', 'grande', 'bretagne', 'rares', 'pay', 'occidentaux', 'encore', 'libres', 'face', 'nazi', 'démarquent', 'juin', 'normandie', 'france', 'ouvrir', 'front', 'ouest', 'contre', '’', 'allemagne', 'demande', 'stalinele', '80e', 'anniversaire', 'débarquement', 'normandie', 'aujourd', '’', 'hui', 'célébré', 'faste', 'france', 'présence', 'président', 'américain', 'joe', 'biden', 'ukrainien', 'volodymir', 'zelensky', '’', 'vingtaine', 'chef', '’', 'etat', 'russie', '’', 'conviée', 'contraire', '’', 'ukraine', '«', 'face', 'ceux', 'prétendent', 'changer', 'frontières', 'force', 'dignes', 'ceux', 'débarqué', 'ici', '»', 'a', 'déclaré', 'président', 'français', 'emmanuel', 'macron', '«', 'merci', 'peuple', 'ukrainien', 'goût', 'liberté', 'là', 'faiblirons', '»', 'atil', 'ajouté', 'intension', 'claire', 'justifier', 'non', 'invitation', 'cette', 'cérémonie', 'russie', 'a', 'énormément', 'contribué', 'débarrasser', '’', 'europe', 'nazisme', '«', 'comment', 'peuton', 'célébrer', 'date', 'aussi', 'importante', 'lutte', 'contre', 'nazisme', 'ceux', 'mettent', 'néonazis', 'piédestal', 'présentent', 'comme', 'héros', 'nationaux', 'symbole', 'actuel', '’', 'état', 'ukrainien', '’', 'bandera', '’', 'principaux', 'associés', '’', 'hitler', 'europe', '’', '»', 'a', 'taclé', 'tour', 'chef', '’', 'état', 'russe', 'vladimir', 'poutinele', 'président', 'russe', 'a', 'aussi', 'rappelé', '’', 'staline', 'a', 'insisté', 'france', 'signataire', '’', 'acte', 'capitulation', '’', 'allemagne', 'moment', 'où', 'étatsunis', 'royaumeuni', '’', 'opposaientc', '’', 'conférence', 'téhéran', 'novembre', 'finalement', 'président', 'américain', 'franklin', 'delano', 'roosevelt', 'britannique', 'winston', 'churchill', 'promis', 'staline', '’', 'allaient', 'ouvrir', 'font', 'ouest', 'comme', '’', 'demandé', 'depuis', '1941le', 'débarquement', 'normandie', 'opération', 'militaire', 'géante', 'complexe', 'périlleuse', 'permet', '’', 'ouvrir', 'front', 'ouest', 'côtes', 'continentales', 'manche', 'main', 'allemands', 'complément', 'front', 'plus', 'grand', 'théâtre', '’', 'opérations', 'seconde', 'guerre', 'mondiale', 'mené', '’', 'union', 'soviétiquele', 'général', 'américain', 'eisenhower', 'commandant', 'quartier', 'général', 'force', 'alliées', 'europe', 'nordoccidentale', 'général', 'anglais', 'montgomery', 'commande', '’', 'ensemble', 'troupe', 'terrestre', 'engagées', 'conduisent', '’', 'opération', 'selon', 'anglais', 'a', 'hommes', 'tout', 'comprenant', 'soldats', 'américains', 'soldats', 'britanniques', 'canadiens', 'débarqué', 'nuitamment', 'plage', 'françaises', 'normandiedes', 'soldats', 'polonais', 'français', 'réfugiés', 'angleterre', 'également', 'pris', 'part', 'national', 'dday', 'mémorial', 'a', 'estimé', 'pertes', 'dont', 'américains', 'lors', 'cette', 'opérationle', 'débarquement', 'normandie', 'plus', '’', 'être', 'capitale', 'fin', 'deuxième', 'guerre', 'mondiale', 'europe', 'rendue', 'célèbre', 'plusieurs', 'film', 'notamment', '«', 'faut', 'sauver', 'soldat', 'rayan', '»', '«', 'bataille', 'ciel', '»', 'encore', '«', 'jour', 'plus', 'long', '»', 'an', 'plus', 'tard', 'pay', 'démarqué', 'normandie', 'ceux', 'profité', 'semblent', 'poursuivre', 'ambition', 'demeurées', '’', 'hégémonie', 'démiurgique', 'poussé', 'hitler', 'mussolini', '’', 'axe', 'tous', 'extrêmes', 'contre', '’', 'humanitémouor', 'aimé', 'kambire', 'photo', '’', 'illustration']"
"['kourittenga', 'sortie', 'promotion', 'apprenantes', 'couture', 'coiffure']","['burkinakourittengaformationprofessionnellekourittenga', 'sortie', 'promotion', 'apprenantes', 'couture', 'coiffurekoupéla', 'aib27', 'apprenantes', 'dont', 'élèves', '11e', 'promotion', 'couture', '1ère', 'promotion', 'coiffure', 'centre', 'formation', 'professionnelle', 'dame', 'grâces', '«', 'art', 'métiers', '»', 'effectué', 'sortie', 'samedi', 'mai', 'koupéla', 'cérémonie', '’', 'déroulée', 'présence', 'autorités', 'administratives', 'religieuses', 'parent', 'amis', 'élèves', 'centreelles', 'total', 'apprenantes', 'fin', 'cycle', '’', 'apprentissage', 'centre', 'formation', 'professionnelle', 'dame', 'grâces', '«', 'art', 'métiers', '»', 'dont', 'élèves', 'couture', 'coiffure', 'cérémonie', 'a', 'lieu', 'samedi', 'mai', 'koupéla', 'directrice', 'centre', 'sœur', 'marie', 'dieudonné', 'ouédraogo', '’', 'réjouie', 'bravoure', 'volonté', 'apprenantes', 'a', 'dires', 'face', 'femmes', 'fille', 'regorgées', 'talent', '«', '’', 'sentiment', 'joie', 'satisfaction', '’', 'anime', 'fille', '’', 'surprise', 'très', 'agréablement', 'création', 'leurs', 'créativités', 'taille', 'franchement', 'reste', 'sans', 'mot', 'leurs', 'surprise', 'fière', 'formation', 'a', 'atteint', 'objectifs', 'elles', 'prêtent', 'terrain', '»', 'atelle', 'indiqué', 'selon', 'sœur', 'marie', 'dieudonné', 'ouédraogo', 'celles', 'classe', 'passage', 'niveau', 'elles', 'compris', '’', 'elles', 'doivent', 'jouer', 'partition', '«', 'beaucoup', 'parent', 'pu', 'faire', 'suivi', 'passaient', 'temp', 'temp', 'voir', '’', 'évolution', 'leurs', 'fille', 'cela', 'a', 'encouragé', 'galvanisé', 'compris', 'parent', 'associé', '’', 'éducation', 'leurs', 'enfants', 'cela', 'donné', 'meilleur', 'nousmême', '»', 'a', 'expliqué', 'directrice', 'apprenantes', 'remercié', 'tous', 'ceux', 'œuvré', 'bienêtre', 'durant', 'temp', '’', 'apprentissage', 'jacqueline', 'tougma', 'fin', 'formation', 'coupe', 'couture', '«', 'viens', 'finir', 'formation', 'coupe', 'couture', 'remercie', 'encadreurs', 'tout', '’', 'fait', 'partant', '’', 'ici', 'compte', 'ouvrir', 'propre', 'atelier', 'parent', '’', 'élèves', '’', 'regretté', '’', 'avoir', 'inscrit', 'leurs', 'fille', 'centre', 'car', 'vu', 'modèles', 'coiffure', 'couture', 'réalisés', 'cellesci', 'convaincus', '’', 'elles', 'bien', 'encadrées', '’', 'intégrer', 'vie', 'professionnelle', 'président', 'parent', '’', 'élèves', 'centre', 'charles', 'désiré', 'pouya', 'a', 'dit', '’', 'travail', 'impeccable', 'couture', 'coiffure', 'dès', '1ère', 'année', 'chacune', 'arrive', 'coiffer', 'natter', 'tête', '’', 'cliente', '«', 'niveau', 'coupe', 'couture', 'chaque', 'apprenante', 'arrive', 'couper', '’', 'habiller', 'ellesmêmes', 'toute', 'sincérité', '’', 'travail', 'professionnel', 'fait', 'quand', 'prends', 'couture', 'elles', 'appelées', '’', 'intégrer', 'société', '»', 'atil', 'ajouté', 'selon', 'elles', 'travaillent', 'fidéliser', 'clientèle', 'respectant', 'rendezvous', '’', 'niveau', 'coiffure', '«', 'travailleur', 'manuel', '’', 'arrive', 'respecter', 'rendezvous', 'remet', 'cause', 'formation', 'plusieurs', 'années', '»', 'a', 'poursuivi', 'charles', 'désiré', 'pouya', 'présidente', 'délégation', 'spéciale', 'pd', 'commune', 'koupéla', 'ailleurs', 'marraine', 'alice', 'belemvirénikiéma', 'a', 'fait', 'savoir', '’', 'raisons', '’', 'existence', 'centre', 'travailler', 'redonner', 'sourire', 'jeunes', 'fille', 'femmes', 'localité', 'tout', 'apprenants', 'exercer', 'activité', '«', 'fille', 'plus', 'laisser', 'ellesmêmes', 'elles', 'quoi', 'apprendre', 'subvenir', 'besoin', 'être', 'femmes', 'autonomes', 'pleines', 'réjouissons', 'invite', 'rester', 'persévérance', 'mettre', 'pratique', 'tous', 'conseils', '’', 'elles', 'reçus', '»', 'a', 'noté', 'pd', '’', 'archevêque', 'métropolitain', 'koupéla', 'monseigneur', 'gabriel', 'sayaogo', 'a', 'invité', 'lauréates', 'mettre', 'application', '’', 'elles', 'appris', 'plutôt', 'possible', '«', 'témoin', '’', 'elles', 'pu', 'faire', 'cours', '’', 'année', 'voudrais', 'remercier', 'belle', 'coiffure', 'vues', 'souhaite', 'seulement', 'celles', '3e', 'année', 'chance', '’', 'être', 'insérer', 'vie', 'active', 'donnons', 'rendezvous', 'celles', '2e', '1ère', 'année', 'rentrée', 'prochaine', 'afin', 'poursuivre', 'commencé', 'ensemble', 'seigneur', 'donne', 'paix', 'burkina', 'faso', '»', 'a', 'souhaité', 'monseigneur', 'gabriel', 'sayaogo', 'trois', 'meilleures', 'élèves', 'chaque', 'classe', 'récompensées', 'celles', '3e', 'année', 'couture', '2e', 'année', 'coiffure', 'fin', 'formation', 'reçu', 'chacune', 'attestation', 'kit', 'agence', '’', 'information', 'burkina', 'awshbbz', 'légende', 'jacqueline', 'tougma', 'fin', 'formation', 'coupe', 'couture', '20bf581', 'photo', 'remise', 'attestation', 'apprenantes', 'couture', 'fin', 'apprentissage', 'directeur', 'provinciale', 'culture', 'art', 'province', 'kouritenga', 'amédée', 'wendlasida', 'silga', '2030e51', 'photo', 'famille', 'autorités', 'coiffeuse', 'fin', 'stage', '20d16e1', 'photo', 'défiler', 'fille', 'deuxième', 'année', 'coiffure', 'fin', 'stage', '20c5971', 'photo', 'invités']"
"['burkina', 'african', 'initiative', 'expose', 'photo', 'célébrer', '79e', 'anniversaire', 'victoire', 'russe', 'nazi']","['burkinarussiecoopérationexpositionburkina', 'african', 'initiative', 'expose', 'photo', 'célébrer', '79e', 'anniversaire', 'victoire', 'russe', 'nazisouagadougou', 'mai', 'aib', '–', '’', 'association', 'russoburkinabè', 'african', 'initiative', 'a', 'organisé', 'exposition', 'photo', 'vittorio', 'rangeloni', 'intitulée', '«', 'an', 'guerre', 'donbas', '»', 'ainsi', 'celles', 'dieudonné', 'ouédraogo', 'jeudi', '’', 'occasion', '79e', 'anniversaire', 'victoire', 'russie', 'grande', 'guerre', 'patriotique', '«', 'cette', 'exposition', 'consacrée', '79e', 'anniversaire', 'victoire', 'guerre', 'patriotique', 'vie', 'chaque', 'citoyen', 'soviétique', 'jour', 'important', 'car', 'nombreux', 'soviétiques', 'participé', 'cette', 'guerre', '»', 'a', 'déclaré', 'alexandre', 'konkov', 'sansan', '’', 'association', 'african', 'initiativeil', 'a', 'poursuivi', 'disant', 'cette', 'guerre', 'restée', 'cœur', 'tous', 'compatriotes', 'car', 'a', 'entraîné', 'nombreuses', 'victimes', 'aussi', 'grandes', 'victoires', 'russiecette', 'séance', '’', 'exposition', 'a', 'porté', 'photo', 'victoire', 'russe', 'prises', 'web', 'ainsi', 'œuvres', 'deux', 'photographes', 'notamment', 'photojournaliste', '’', 'observateur', 'paalga', 'dieudonné', 'ouédraogo', 'journaliste', 'guerre', 'african', 'initiative', 'vittorio', 'rangelonipour', 'dernier', 'auteur', '’', 'exposition', 'intitulée', '«', 'an', 'guerre', 'donbas', '»', 'photo', 'exposées', 'racontent', 'vie', 'citoyens', 'donbas', 'souffrent', 'conséquences', 'guerres', 'armées', 'ukrainienne', 'américainem', 'rangeloni', 'ajoute', 'photo', 'montrent', 'également', 'lutte', 'peuples', 'rus', 'contre', 'attentats', 'agressions', 'pay', 'dit', 'démocratiques', '«', 'important', 'montrer', 'vérité', 'présenter', 'choses', 'telles', '’', 'elles', '’', 'espace', 'médiatique', 'a', 'trop', 'mensonges', 'fausses', 'information', 'obligation', 'montrer', 'vérité', 'tout', 'monde', '»', 'atil', 'indiquéselon', 'a', 'trop', 'médias', 'montrent', 'dégâts', '’', 'armée', 'russe', 'ukraine', 'jamais', 'dégâts', '’', 'armée', 'ukrainienne', 'russie', 'surtout', 'sein', 'peuple', 'donbassde', 'côté', 'deuxième', 'exposant', 'dieudonné', 'ouédraogo', 'a', 'informé', 'photo', 'prises', 'mai', 'lors', 'fête', 'victoire', 'organisée', 'chaque', 'année', 'russie', '»', '’', 'photographié', 'vétérans', 'guerre', 'leurs', 'uniformes', 'médailles', 'épinglées', 'poitrine', 'ainsi', '’', 'fleurs', 'car', 'gen', 'viennent', 'dire', 'merci', 'bravoure', 'liberté', '’', 'donnée', '»', 'ouédraogo', '’', 'agit', '’', 'exemple', 'courage', 'résilience', 'dont', 'burkina', 'peut', '’', 'inspirer', '«', 'peuple', 'envahi', 'réorganise', 'peut', '’', 'inspirer', '’', 'expérience', 'grandes', 'nation', 'combattu', 'contre', 'grand', 'ennemis', '’', 'a', '’', 'ennemis', 'invincibles', 'si', 'organisez', 'pouvez', 'vaincre', '»', 'a', 'précisé', 'dieudonné', 'ouédraogole', 'président', '’', 'african', 'initiative', 'burkina', 'soumaila', 'ayo', 'azenwo', 'a', 'remercié', 'exposants', 'a', 'exhorté', 'journalistes', 'photographes', 'documenter', 'situation', 'actuelle', 'burkina', 'faso', 'pourrait', 'être', 'utilisé', 'instruire', 'ceux', '’', 'connu', 'guerre', 'afin', 'aider', 'forger', 'patriotismeles', 'participant', 'également', 'droit', 'projection', 'traditionnelle', 'parade', 'force', 'armées', 'célébrer', 'maichaque', 'mai', 'russie', 'organise', 'grande', 'parade', 'militaire', 'place', 'rouge', 'moscou', 'commémorer', 'victoire', '’', 'union', 'soviétique', '’', 'allemagne', 'nazie', '1945agence', '’', 'information', 'burkinaamzata']"
"['snc', 'bwaba', 'peulhs', 'célèbrent', 'fraternité', 'culture']","['burkinahouetculturesncfraternitesnc', 'bwaba', 'peulhs', 'célèbrent', 'fraternité', 'culture', 'bobodioulasso', 'aiben', 'marge', '21e', 'édition', 'semaine', 'nationale', 'culture', 'snc', 'fondation', '’', 'lanou', 'gnoumou', 'a', 'organisé', 'première', 'édition', 'nuit', 'bwamu', 'vendredi', 'mai', 'bobodioulasso', 'soirée', 'empreinte', 'tradition', 'fraternité', 'entre', 'communautés', 'bwaba', 'peulhsla', 'parenté', 'plaisanterie', 'rendezvous', 'cette', '21e', 'édition', 'semaine', 'nationale', 'culture', 'sncen', 'effet', 'dehors', 'village', 'communautés', 'fondation', '’', 'lanou', 'gnoumou', 'a', 'organisé', 'soirée', 'dénommée', '«', 'nuit', 'bwamu', '»', 'a', 'consacrée', 'communautés', 'peulh', 'bwacette', 'première', 'édition', 'a', 'connu', 'participation', 'plusieurs', 'chef', 'canton', 'notamment', 'celui', 'dédougou', 'gaoua', 'bobodioulasso', '’', 'emir', 'liptakogourma', 'vise', 'célébrer', 'promouvoir', 'valeurs', 'culturelles', 'burkina', 'fasoplacée', 'sou', 'thème', '«', 'renforcement', 'paix', 'cohésion', 'sociale', 'autour', 'parenté', 'plaisanterie', 'entre', 'bwaba', 'peulhs', '»', 'a', 'également', 'objectif', 'magnifier', 'culture', 'bwa', 'tout', 'faisant', 'promotion', 'cohésion', 'sociale', 'a', 'indiqué', 'présidente', 'fondation', '’', 'lanou', 'gnoumou', 'dr', 'sanhan', 'traoréla', 'nuit', 'bwamu', 'a', 'ainsi', 'offert', '’', 'opportunité', 'bwaba', 'peulhs', 'mettre', 'avant', '«', 'riche', '»', 'patrimoine', 'cultureldanses', 'traditionnelles', 'chant', 'démonstrations', 'enchanté', 'participant', 'mettant', 'lumière', 'diversité', 'beauté', 'culture', 'bwala', 'présidente', 'fondation', '’', 'lanou', 'gnoumou', 'a', 'également', 'exprimé', '’', 'apport', '’', 'telle', 'activité', 'cohésion', 'sociale', 'burkina', 'faso', '«', '’', 'burkina', 'faso', 'comme', 'pay', 'condamnés', 'vivreensemble', '»', 'atelle', 'rappelé', 'soulignant', '’', 'importance', '’', 'unité', 'diversitépour', 'faut', 'burkinabè', 'puisent', 'leurs', 'valeurs', 'culturelles', 'sortir', 'meilleurs', 'valeurs', 'pouvoir', 'avancerquant', 'ministre', '’', 'etat', 'ministre', 'communication', 'culture', 'art', 'tourisme', 'rimtalba', 'jean', 'emmanuel', 'ouédraogo', 'a', 'souligné', '’', 'importance', 'cette', 'soirée', 'contexte', 'actuel', 'marqué', 'terrorisme', '«', '’', 'valeurs', 'pourrons', 'appuyer', 'façon', 'efficace', 'recoller', 'tissu', 'social', 'fragilisé', 'terrorisme', '»', 'atil', 'déclaréces', 'initiative', 'a', 'poursuivi', 'ministre', 'ouédraogo', 'nature', '«', 'rappeler', 'véritablement', '’', '‘', '’', '’', 'a', 'intérêt', 'appuyer', 'valeurs', 'ancestrales', 'afin', 'contrer', 'terrorisme', '’', 'installer', 'durablement', 'paix', 'fraternité', 'cohésion', 'entre', 'communautés', '»', 'agence', '’', 'information', 'burkinannhbbz']"
"['chef', '’', 'etat', 'lors', 'remise', 'équipements', 'militaires']",[]
"['audience', 'ministre', 'affaire', 'étrangères', 'russie', 'image']",[]
"['burkina', 'nationalisation', 'bcb', 'hadj', 'menu', 'journaux']","['burkinarevuepresseburkina', 'nationalisation', 'bcb', 'hadj', 'menu', 'journauxouagadougou', 'mai', 'aibles', 'journaux', 'leurs', 'parutions', 'jeudi', 'traitent', 'hadj', 'nationalisation', 'banque', 'commerciale', 'burkina', 'bcb', '«', 'gouvernement', 'nationalise', 'bcb', '»', 'a', 'titré', 'journal', 'privé', 'pay', 'tout', 'rapportant', 'décision', 'gouvernement', 'intervient', 'suite', 'refus', 'partenaire', 'libyen', 'financer', 'banque', 'contentant', 'verser', 'part', '’', 'actionselon', 'ministre', 'charge', '’', 'economie', 'cette', 'nationalisation', 'va', 'permettre', 'bcb', '’', 'être', 'phase', 'exigences', 'règlementation', 'bancaire', '’', 'espace', '’', 'union', 'monétaire', 'ouest', 'africaine', 'vue', '’', 'assurer', 'meilleure', 'gouvernancele', 'quotidien', 'privé', '’', 'observateur', 'paalga', 'affiche', '«', 'nationalisation', 'banque', 'commerciale', 'burkina', '»', 'a', 'renseigné', 'selon', 'propos', 'ministre', 'burkina', 'a', 'dénoncé', '’', 'accord', 'convention', 'portant', 'création', 'banque', 'décembre', '2023cette', 'dénonciation', 'a', 'indiqué', '’', 'ob', 'a', 'rendu', 'caduc', 'disposition', 'antérieures', 'permettant', 'ainsi', 'pay', 'donner', 'nouvelle', 'orientation', 'cette', 'institution', 'financièrequant', 'quotidien', '’', 'etat', 'sidwaya', 'a', 'mentionné', '«', 'gouvernement', 'nationalise', 'banque', 'commerciale', 'burkina', 'reprenant', 'rapport', 'relatif', 'conseil', 'ministre', 'relatif', 'cette', 'décisionle', 'hadj', '’', 'autre', 'sujet', 'a', 'retenu', '’', 'attention', 'journaux', 'leurs', 'parutions', 'joura', 'titre', 'pay', 'écrit', 'pèlerins', '«', 'clandestins', '»', 'mi', 'gardeselon', 'quotidien', 'privé', 'pèlerins', 'clandestin', 'définissant', 'comme', 'tous', 'ceux', 'disposent', 'visa', 'non', 'hadj', 'rendent', 'difficile', 'travail', 'comité', '’', 'organisationpour', 'cela', 'fédération', 'association', 'islamiques', 'burkina', 'faib', 'a', 'appelé', 'agences', 'autorités', 'dénoncer', 'auteur', 'cette', 'pratique', 'a', 'indiqué', 'quotidienselon', 'journal', '’', 'observateur', 'paalga', 'marque', '«', 'hadj', 'solution', 'pratiques', 'innovation', 'pèlerinage', 'réussi', '»', 'ministre', 'charge', 'cultes', 'comité', '’', 'organisation', 'hadj', 'partagé', 'quelques', 'piste', 'solution', 'mai', 'jour', 'vol', 'inaugurala', 'croire', '’', 'organe', 'presse', 'a', 'proposé', 'entre', 'autres', 'solution', 'pèlerins', 'disposant', 'visa', 'hadj', '’', 'accès', 'siteles', 'pèlerins', 'vont', 'également', 'porter', 'bracelet', 'électroniques', 'faciliter', 'gestion', 'urgences', 'prise', 'charge', 'sanitaire', 'pèlerins', 'a', 'soutenu', '’', 'observateur', 'paalgaagence', '’', 'information', 'burkinazobhyo']"
"['«', '’', 'école', 'française', 'arme', 'destruction', 'massive', '»', 'écrivain', 'sénégalais']","['«', '’', 'école', 'française', 'arme', 'destruction', 'massive', '»', 'écrivain', 'sénégalaisouagadougou', 'mai', 'aib', '–', 'livre', '«', '’', 'école', 'française', '’', 'arme', 'destruction', 'massive', '»', '’', 'écrivain', 'sénégalais', 'ndiaye', 'bocar', 'niang', 'critique', 'manière', 'dont', '’', 'éducation', 'modelée', 'influence', 'coloniales', 'a', 'éloigné', 'africains', 'leurs', 'racine', 'leurs', 'langues', 'promouvant', 'selon', 'système', 'favorise', '’', 'assimilation', 'plutôt', '’', 'innovation', 'autonomedans', 'perspective', 'remise', 'cause', 'savoir', 'imposé', '’', 'école', 'occidentale', 'jeune', 'écrivain', 'sénégalais', 'ndiaye', 'bocar', 'niang', 'critique', 'livre', 'intitulé', '«', '’', 'école', 'française', '’', 'arme', 'destruction', 'massive', '»', 'déconnexion', 'entre', 'savoirs', 'traditionnels', 'africains', 'ceux', 'imposés', 'systèmes', 'éducatifs', 'occidentalisés', 'soulignant', '’', 'importance', 'revenir', 'connaissance', 'valorise', '’', 'histoire', 'culture', 'africaines', 'indique', 'quotidien', 'sénégal', 'sud', 'quotidien', 'site', 'webquant', '’', 'impact', 'colonialisme', '’', 'éducation', 'critique', 'manière', 'dont', '’', 'éducation', 'modelée', 'influence', 'coloniales', 'a', 'éloigné', 'africains', 'leurs', 'racine', 'leurs', 'langues', 'promouvant', 'système', 'favorise', '’', 'assimilation', 'plutôt', '’', 'innovation', 'autonome', 'souligne', 'sourceconsidérant', 'langue', 'comme', 'vecteur', 'savoir', 'niang', 'évoque', 'texte', '’', 'importance', 'valoriser', 'langues', 'africaines', '’', 'éducation', 'préserver', 'culture', 'encourager', 'pensée', 'critique', 'indépendantedans', 'pamphlet', 'contre', '’', 'école', 'occidentale', '’', 'auteur', 'souligne', 'rôle', 'crucial', 'enseignants', 'intellectuels', 'africains', 'transmission', 'connaissances', 'valeurs', 'autochtones', 'tout', 'critiquant', 'formation', 'souvent', 'trop', 'alignée', 'modèles', 'occidentaux', '«', 'livre', 'a', 'conçu', 'revisiter', 'propre', 'histoire', 'celle', 'redonne', 'ailes', 'portant', 'contenu', 'fierté', 'noblesse', 'sagesse', 'pratique', 'met', 'lumière', 'présent', 'chaotique', 'stabilise', 'vécu', '’', 'continent', 'ignorant', 'cause', 'immobilisme', '»', 'ajoute', '’', 'auteurle', 'livre', 'ndiaye', 'bocar', 'niang', '«', 'école', 'française', '’', 'arme', 'déconstruction', 'massive', '»', 'a', 'présenté', 'mai', 'composé', 'page', 'édité', 'maison', 'lea', 'servicel', '’', 'auteur', 'jeune', 'entrepreneur', 'an', '’', 'dit', 'inspirer', 'bref', 'passage', '’', 'école', 'française', 'écrire', 'premier', 'livreagence', '’', 'information', 'burkinadnkata']"
"['tita06', 'morts', 'blessés', 'accident', 'village', 'laba', 'nationale']","['burkinatransportaccidenttita06', 'morts', 'blessés', 'accident', 'village', 'laba', 'nationale', '1boromole', 'juin', '2024aibun', 'accident', 'route', 'a', 'fait', 'samedi', 'morts', 'blessés', 'graf', 'kilomètre', 'après', 'village', 'laba', 'route', 'nationale', 'numéro', 'a', 'appris', '’', 'aib', 'auprès', 'secoursun', 'accident', 'circulation', 'impliquant', 'car', 'a', 'fait', 'victimes', '’', 'aprèsmidi', 'samedi', 'juin', 'sortie', 'village', 'laba', 'direction', 'ouagadougouselon', 'secours', 'personnes', 'perdu', 'vie', 'autres', 'gravement', 'blesséesparmi', 'victimes', 'décédées', 'dénombre', 'homme', 'femmes', 'enfants08', 'blessés', 'évacués', 'ambulance', 'civiles', 'koudougou', 'autres', 'pompiers', 'boromo', 'selon', 'mêmes', 'source', 'agence', '’', 'information', 'burkina']"
"['sankmoney', 'offre', 'matériel', 'district', 'sanitaire', 'pouytenga']","['sankmoney', 'offre', 'matériel', 'district', 'sanitaire', 'pouytengapouytenga', 'juin', 'aibla', 'société', 'sankmoney', 'a', 'remis', 'samedi', 'dix', 'lit', 'dix', 'matelas', 'district', 'sanitaire', 'pouytenga', 'saluer', 'engagement', 'faveur', 'santé', 'population', 'particulier', 'fdsle', 'district', 'sanitaire', 'pouytenga', 'a', 'marqué', 'arrêt', 'célébrer', '5e', 'journées', '’', 'excellence', 'bénéficient', '’', 'accompagnement', 'société', 'sankmoneyce', 'juin', 'plusieurs', 'autorités', 'dont', 'directeur', 'général', 'sankmoney', 'rodrigue', 'zabsonré', 'traduit', 'vive', 'voix', 'leurs', 'reconnaissance', 'personnel', 'soignant', 'service', 'rendus', 'populationsselon', 'zabsonré', 'activités', 'agent', 'santé', 'visent', 'bienêtre', 'population', '’', 'cela', 'a', 'félicité', 'médecins', 'infirmiers', 'malgré', 'contexte', 'difficile', 'travaillent', 'soulager', 'souffrances', 'blessés', 'fds', 'maladesle', 'dg', 'a', 'également', 'remis', 'lot', 'matériel', 'logistique', 'composé', 'dix', 'lit', 'dix', 'matelas', 'district', 'sanitairecet', 'accompagnement', 'plus', 'autres', 'soutiens', 'selon', 'zabsonré', 'vise', 'répondre', 'demande', 'pressante', 'prise', 'charge', 'patient', 'notamment', 'blessés', 'force', 'combattantesle', 'ministre', 'délégué', 'charge', 'sécurité', 'mahamadou', 'sana', 'a', 'salué', 'coordination', '’', 'action', '’', 'entretiennent', 'agent', 'santé', 'force', 'défense', 'sécurité', 'fds', 'contexte', 'lutte', 'contre', 'terrorisme', 'burkina', 'faso', '«', 'quand', 'menons', 'activités', 'terrain', 'terme', 'reconquête', 'territoire', 'a', 'cet', 'accompagnement', 'agent', 'santé', 'non', 'seulement', 'profit', 'population', 'également', '’', 'endroit', 'fds', 'blessées', '»', 'a', 'déclaré', 'ministre', 'délégué', 'sécuritéselon', 'agent', 'santé', '’', 'importance', 'vitale', 'force', 'combattantes', 'engagées', 'théâtre', 'opérationsle', 'ministre', 'sana', 'a', 'laissé', 'entendre', 'agent', 'santé', 'constituent', 'maillot', 'fort', 'moment', 'lutte', 'contre', 'terrorismeselon', 'détermination', '’', 'engagement', 'agent', 'santé', 'côtés', 'fds', 'permis', 'créer', 'climat', 'stabilité', 'plusieurs', 'zonesle', 'ministre', 'délégué', 'chargé', 'sécurité', 'ailleurs', 'patron', 'journées', 'promotionnelles', '’', 'excellence', 'a', 'aussi', 'reconnu', 'contribution', 'district', 'sanitaire', 'pouytenga', 'développement', 'socioéconomique', 'province', 'kourittenga', '«', 'population', 'bonne', 'santé', 'plus', 'résiliente', 'face', 'défis', 'sécuritaires', 'socioéconomiques', 'auxquels', 'confrontés', '»', 'atil', 'indiquédans', 'cette', 'optique', 'a', 'salué', 'dévouement', 'professionnalisme', 'agent', 'tout', 'invitant', 'prendre', 'mesure', 'défi', 'abnégation', 'résilienceselon', 'médecin', 'chef', 'dr', 'ousmane', 'isidore', 'kalmogo', 'district', 'sanitaire', 'pouytenga', 'compte', 'formation', 'sanitaires', 'publiques', 'centre', 'santé', 'privés', 'trois', 'officines', 'total', 'agent', 'toutes', 'catégories', 'confonduesil', 'faut', 'noter', '5e', 'édition', 'journées', '’', 'excellence', 'district', 'sanitaire', 'a', 'thème', '«', 'résilience', 'excellence', 'cœur', 'défis', '»', 'a', 'cette', 'occasion', 'plusieurs', 'agent', 'centre', 'santé', 'primés', 'base', 'leurs', 'engagement', 'abnégation', 'travail', 'agence', '’', 'information', 'burkina', 'zoata']"
